#deviceId,InstantPower(mW),InstantTemperature(C),TotalEnergy(mJ)
3,33978384,1313095,130910603212822
3,2200,0,14599315595991300
3,3840,133292287,403733180930
3,4185600,4185600,17977015114141440
3,356866,369455632,408028148226
3,6,255,17977015114141440
3,3840,8381695,6631463352336
3,4185600,4185600,17977015247429887
3,356866,268726986,1095586116112
3,5,0,17977015122519295
3,3840,917504,268726986
3,4185600,4185600,17977015115055104
3,487938,285569738,285569738
3,7,0,17977015115055104
3,3840,917504,67139973
3,4185600,4185600,14599315595989252
3,750082,67139973,31047
3,7,0,17977015172857856
3,3840,202379524,6562743875600
3,4185600,3399168,17977015247429887
3,225794,31047,1095586116112
3,3,0,17977015122519295
3,3840,58720256,268726986
3,4185600,4185600,17977015115055104
3,1012226,5273927,285569738
3,3,0,17977015115055104
3,3840,58720256,17247271296
3,4185600,4185600,14106734386748160
3,31047,31000,17180160514
3,0,0,17977015114141440
3,58720256,0,21475193346
3,4185600,4185600,17977015114141440
3,881154,31000,268726986
3,4,0,17977015115055104
3,3840,0,285569738
3,4185600,4185600,17977015115055104
3,815618,31000,17247271296
3,5,0,14106734386748160
3,3840,0,17179898370
3,4185600,4185600,17977015114141440
3,750082,31000,21475193346
3,11,0,17977015114141440
3,3840,0,34360031248
3,4185600,4185600,17977015247429887
3,1012226,31000,1095300903440
3,15,0,17977015122519295
3,3840,0,120326486032
3,4185600,4185600,17977015247429887
3,96581,31000,1095300903440
3,64,0,17977015122519295
3,58720256,0,268726986
3,4185600,4185600,17977015115055104
3,252212040,31000,285569738
3,0,0,17977015115055104
3,62914560,0,17247271296
3,4185600,4185600,14106734386747648
3,219050889,31000,17179898370
3,134217740,0,17977015114141440
3,786443,0,6648643221520
3,3284480,4185600,17977015247429887
3,31003,31000,1095586116112
3,0,0,17977015122519295
3,58720256,0,268726986
3,4185600,4185600,17977015115055104
3,96577,31000,285569738
3,0,0,17977015115055104
3,58720256,0,67139973
3,4185600,4185600,14599315595991300
3,946690,31000,6597103613968
3,14,0,17977015247429887
3,3840,0,1095586116112
3,4185600,4185600,17977015122519295
3,4157954,31000,6614283614224
3,14,0,17977015247429887
3,3840,0,1095586247184
3,4185600,4185600,17977015122519295
3,291330,31000,6648643483664
3,63,0,17977015247429887
3,3840,0,1095586378256
3,4185600,4185600,17977015122519295
3,291330,31000,17180160514
3,4,0,17977015114141440
3,3840,0,21475193346
3,4185600,4185600,17977015114141440
3,291330,31000,25770226178
3,4,0,17977015114141440
3,3840,0,30065259010
3,4185600,4185600,17977015114141440
3,4485634,31000,34360291842
3,4,0,17977015114141440
3,3840,0,38655324674
3,4185600,4185600,17977015114141440
3,291330,31000,2452253908850210818
3,9,0,17977015114141440
3,3840,0,22411140757506
3,4185600,4185600,17977015114141440
3,4278548505,31000,7071228624224942403
3,31,0,17977015177052180
3,70660,0,17180160514
3,4185600,4185600,17977015114141440
